IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
3.17.159.142,443,443,true,ORD,North America,Chicago,219,8.28
18.192.214.17,443,443,true,FRA,Europe,Frankfurt,193,8.28
18.118.170.98,443,443,true,ORD,North America,Chicago,214,8.27
18.226.187.151,443,443,true,ORD,North America,Chicago,215,8.27
13.51.250.178,443,443,true,AMS,Europe,Amsterdam,181,8.27
3.17.59.81,443,443,true,CMH,North America,Columbus,233,8.27
204.110.221.91,80,443,true,SEA,North America,Seattle,193,8.27
204.110.220.210,80,443,true,PDX,North America,Portland,196,8.27
3.145.110.34,443,443,true,ORD,North America,Chicago,215,8.26
44.227.209.152,443,443,true,PDX,North America,Portland,194,8.26
3.16.78.242,443,443,true,ORD,North America,Chicago,215,8.26
18.219.158.214,443,443,true,ORD,North America,Chicago,219,8.26
18.116.62.221,443,443,true,ORD,North America,Chicago,215,8.26
18.119.117.17,443,443,true,CMH,North America,Columbus,215,8.25
18.117.120.61,443,443,true,ORD,North America,Chicago,214,8.25
3.15.24.252,443,443,true,ORD,North America,Chicago,214,8.24
3.137.105.218,2053,443,true,CMH,North America,Columbus,215,8.24
3.15.3.164,443,443,true,ORD,North America,Chicago,220,8.24
18.223.206.44,443,443,true,ORD,North America,Chicago,216,8.24
3.147.74.230,443,443,true,ORD,North America,Chicago,215,8.24
3.144.80.78,8443,443,true,CMH,North America,Columbus,215,8.24
3.149.24.4,443,443,true,ORD,North America,Chicago,216,8.24
3.147.73.220,443,443,true,CMH,North America,Columbus,215,8.23
18.116.67.255,443,443,true,ORD,North America,Chicago,215,8.23
18.189.178.239,443,443,true,ORD,North America,Chicago,215,8.23
3.15.31.255,443,443,true,ORD,North America,Chicago,219,8.23
3.136.160.207,443,443,true,ORD,North America,Chicago,219,8.23
18.221.107.58,443,443,true,ORD,North America,Chicago,215,8.21
204.110.220.59,80,443,true,SEA,North America,Seattle,195,8.21
13.59.115.121,443,443,true,ORD,North America,Chicago,216,8.21
3.143.0.75,443,443,true,ORD,North America,Chicago,215,8.21
18.117.99.29,443,443,true,ORD,North America,Chicago,215,8.21
3.141.45.102,443,443,true,ORD,North America,Chicago,219,8.20
35.159.168.72,443,443,true,FRA,Europe,Frankfurt,168,8.20
3.68.216.137,2053,443,true,FRA,Europe,Frankfurt,209,8.19
3.21.167.135,2053,443,true,CMH,North America,Columbus,214,8.19
34.215.182.163,443,443,true,SEA,North America,Seattle,195,8.18
35.88.181.24,80,443,true,PDX,North America,Portland,197,8.18
204.110.220.55,80,443,true,SEA,North America,Seattle,197,8.18
35.94.33.226,443,443,true,SEA,North America,Seattle,194,8.18
35.179.113.117,80,443,true,LHR,Europe,London,174,8.17
3.121.239.184,443,443,true,AMS,Europe,Amsterdam,180,8.17
34.220.249.243,443,443,true,SEA,North America,Seattle,197,8.17
3.144.28.229,443,443,true,ORD,North America,Chicago,215,8.17
3.147.67.235,443,443,true,ORD,North America,Chicago,219,8.17
18.216.126.131,443,443,true,CMH,North America,Columbus,220,8.16
15.237.126.153,443,443,true,AMS,Europe,Amsterdam,161,8.15
34.223.43.23,443,443,true,SEA,North America,Seattle,192,8.15
204.110.220.69,80,443,true,PDX,North America,Portland,199,8.14
3.141.29.182,443,443,true,ORD,North America,Chicago,216,8.14
204.110.221.5,80,443,true,PDX,North America,Portland,198,8.12
3.147.104.107,443,443,true,ATL,North America,Atlanta,219,8.12
204.110.220.165,80,443,true,SEA,North America,Seattle,222,8.12
18.217.67.241,443,443,true,ORD,North America,Chicago,220,8.11
16.171.112.225,443,443,true,AMS,Europe,Amsterdam,210,8.09
35.88.143.133,443,443,true,SEA,North America,Seattle,196,8.08
52.59.113.141,8443,443,true,FRA,Europe,Frankfurt,194,8.08
13.53.206.75,443,443,true,CPH,Europe,Copenhagen,194,8.07
3.22.57.203,2053,443,true,CMH,North America,Columbus,218,8.06
3.147.52.122,443,443,true,ORD,North America,Chicago,216,8.06
204.110.220.42,80,443,true,SEA,North America,Seattle,200,8.05
204.110.220.96,80,443,true,SEA,North America,Seattle,198,8.05
3.142.142.162,443,443,true,ORD,North America,Chicago,218,8.05
204.110.220.3,80,443,true,SEA,North America,Seattle,201,8.05
34.213.125.194,2053,443,true,SEA,North America,Seattle,198,8.05
18.218.120.218,443,443,true,ORD,North America,Chicago,228,8.04
18.222.20.202,443,443,true,ORD,North America,Chicago,219,8.04
204.110.220.12,80,443,true,SEA,North America,Seattle,204,8.03
18.222.137.99,443,443,true,ORD,North America,Chicago,218,8.03
204.110.220.38,80,443,true,SEA,North America,Seattle,199,8.03
204.110.221.201,80,443,true,SEA,North America,Seattle,196,8.03
3.144.38.92,443,443,true,ORD,North America,Chicago,215,8.02
3.13.196.41,443,443,true,ATL,North America,Atlanta,220,8.02
3.144.232.87,443,443,true,ORD,North America,Chicago,215,8.02
3.144.102.3,443,443,true,ORD,North America,Chicago,220,8.01
3.78.92.201,443,443,true,FRA,Europe,Frankfurt,172,7.98
18.189.21.240,443,443,true,ORD,North America,Chicago,220,7.98
204.110.221.207,80,443,true,PDX,North America,Portland,196,7.98
204.110.221.49,80,443,true,PDX,North America,Portland,198,7.97
204.110.220.128,80,443,true,PDX,North America,Portland,198,7.97
204.110.220.194,80,443,true,PDX,North America,Portland,200,7.97
3.18.169.201,443,443,true,CMH,North America,Columbus,219,7.94
34.221.100.8,443,443,true,SEA,North America,Seattle,198,7.93
54.203.85.46,80,443,true,PDX,North America,Portland,196,7.92
204.110.220.83,80,443,true,SEA,North America,Seattle,191,7.92
3.133.122.75,443,443,true,ORD,North America,Chicago,224,7.92
13.48.245.19,443,443,true,OSL,Europe,Oslo,196,7.90
204.110.220.23,80,443,true,SEA,North America,Seattle,193,7.87
18.118.149.88,443,443,true,ORD,North America,Chicago,215,7.84
204.110.221.27,80,443,true,PDX,North America,Portland,197,7.83
18.222.230.171,443,443,true,ORD,North America,Chicago,215,7.83
54.203.85.46,443,443,true,PDX,North America,Portland,195,7.83
204.110.221.78,80,443,true,PDX,North America,Portland,195,7.83
